id,name,molecule_code,group_id,group_name_cache,class_type_id,class_type_name_cache,experimental_measurements_count,membrane_binding_energy,logp7_4_blm,logp0_blm,molecular_weight,pKa,wiki_name,pubchem,metabolome,chEBI,drugbank,KEGG,PDB,influx,efflux,intracellular_localization,annotation,created_at,updated_at,logp6_5_pampa_ds,logp7_4_pampa_ds,logp0_pampa_ds,logp6_5_caco,logp0_caco,logp0_bbb,logp0_pm,,,,
109,Labetalol,Labetalol,2,Bases,4,Benzenoids,6,-4.8,-5.26,-1.55,328,9.27,Labetalol,3869,HMDB14736,6343,DB00598,C07063,,"SLCO1A2(s), SLC22A1(i)",ABCB1(s),Membrane,"Labetalol is a blocker of both alpha- and beta-adrenergic receptors that is used as an antihypertensive. Labetalol HCl combines both selective, competitive, alpha-1-adrenergic blocking and nonselective, competitive, beta-adrenergic blocking activity in a single substance. In man, the ratios of alpha- to beta- blockade have been estimated to be approximately 1:3 and 1:7 following oral and intravenous (IV) administration, respectively. The principal physiologic action of labetalol is to competitively block adrenergic stimulation of receptors within the myocardium and within bronchial and vascular smooth muscle. This causes a decrease in systemic arterial blood pressure and systemic vascular resistance without a substantial reduction in resting heart rate, cardiac output, or stroke volume, apparently because of its combined adrenergic blocking activity.",2018-08-16 02:02:16 UTC,2019-05-22 02:17:38 UTC,-6.96,-6.08,-2.66,-5.07,-3.88,-3.44,-3.14,,,,
110,L-Lactic acid,Lactic_acid,3,Acids,5,Organic acids and derivatives,4,-0.8,-7.96,-4.35,90,3.78,Lactic acid,107689,HMDB00190,422,DB04398,C00186,2OP,"SLC16A1(s,i), SLC16A3(s), SLC16A7(s,i), SLC16A10(s,i), SLCO2B1(s,i), SLCO2A1(i)",,"Cytoplasm, Extracellular, Mitochondria","Lactic acid plays a role in several biochemical processes and is produced in the muscles during intense activity. Lactate measurement in the critically ill has been traditionally used to stratify patients with poor outcome. However, plasma lactate levels are the result of a finely tuned interplay of factors that affect the balance between its production and its clearance. When the oxygen supply does not match its consumption, organisms such as man who are forced to produce ATP for their integrity adapt in many different ways up to the point when energy failure occurs. Lactate, being part of the adaptive response, may then be used to assess the severity of the supply/demand imbalance. In such a scenario, the time to intervention becomes relevant: early and effective treatment may allow the cell to revert to a normal state, as long as the oxygen machinery (i.e. mitochondria) is intact. Conversely, once the mitochondria are deranged, energy failure occurs even in the presence of normoxia.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-7.69,-8.57,-5.24,-5.27,-4.59,-4.43,-5.4,,,,
111,Lamotrigine,Lamotrigine,1,Neutral,4,Benzenoids,7,-2.8,-4.9,-4.9,256,Lamotrigine,3878,HMDB14695,6367,DB00555,,,"SLC22A1(s), SLCO1B1(i), SLCO1B3(i)",ABCB1(s),Membrane,"Lamotrigine is an anticonvulsant drug used in the treatment of epilepsy and bipolar disorder. For epilepsy it is used to treat partial seizures, primary and secondary tonic-clonic seizures, and seizures associated with Lennox-Gastaut syndrome. Lamotrigine also acts as a mood stabilizer. Chemically unrelated to other anticonvulsants, lamotrigine has relatively few side-effects and does not require blood monitoring. ",2018-08-16 02:02:17 UTC,2019-03-21 00:34:16 UTC,-5.75,-5.75,-5.75,-4.73,-4.73,-4.62,-5.85,,,,,
112,Lansoprazole,Lansoprazole,1,Neutral,3,Organoheterocyclic compounds,5,-3.9,-5.75,-5.75,369,Lansoprazole,3883,HMDB05008,6375,DB00448,C01594,,"SLCO1B1(i), SLCO1B3(i), SLCO2B1(inducer), SLC22A1(i) ","ABCB1(s,i), ABCG2(i), ABCC2(i)",,"Lansoprazole is a proton pump inhibitor similar to omeprazole which prevents the stomach from producing acid. Lansoprazole's plasma elimination half-life is not proportional to the duration of the drug's effects (i.e. gastric acid suppression). The plasma elimination half-life is 1.5 hours or less, and the effects of the drug last for over 24 hours after it has been given for 5 days or more.",2018-08-16 02:02:17 UTC,2019-03-21 00:34:16 UTC,-6.53,-6.53,-6.53,-4.95,-4.95,-4.92,-6.54,,,,,
113,L-Dopa,L-DOPA,4,Zwitterions,6,"Amino acids, peptides, and analogues",9,-1.2,-14.55,-6.54,197,8.77,L-Dopa,6047,HMDB00181,15765,DB01235,C00355,DAH,"SLC7A5(s), SLC7A8, SLC15A1(i), SLC16A10(i)",ABCB1(s),"Cytoplasm, Extracellular","L-Dopa is the naturally occurring form of dihydroxyphenylalanine and the immediate precursor of dopamine. Unlike dopamine itself, L-Dopa can be taken orally and crosses the blood-brain barrier. It is rapidly taken up by dopaminergic neurons and converted to dopamine. In particular, it is metabolized to dopamine by aromatic L-amino acid decarboxylase. Pyridoxal phosphate (vitamin B6) is a required cofactor for this decarboxylation, and may be administered along with levodopa, usually as pyridoxine. L-Dopa is used for the treatment of Parkinsonian disorders and Dopa-Responsive Dystonia and is usually given with agents that inhibit its conversion to dopamine outside of the central nervous system.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-14.58,-14.65,-7.26,-7.18,-5.15,-5.2,-7.18,,,,
114,L-Leucine,Leucine,4,Zwitterions,6,"Amino acids, peptides, and analogues",5,-1.9,-10.15,-2.69,131,9.61,Leucine,6106,HMDB00687,15603,DB00149,C00123,LEU,"SLC7A5(s,i), SLC7A8, SLC16A2(s), SLC16A10(i), SLC15A1(i)",,"Extracellular, Mitochondria","Branched chain amino acids (BCAA) are essential amino acids whose carbon structure is marked by a branch point. These three amino acids are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. 'BCAA' denotes valine, isoleucine and leucine which are branched chain essential amino acids. Despite their structural similarities, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates, leucine solely to fats and isoleucine to both. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. Many types of inborn errors of BCAA metabolism exist, and are marked by various abnormalities. The most common form is the maple syrup urine disease, marked by a characteristic urinary odor. Other abnormalities are associated with a wide range of symptoms, such as mental retardation, ataxia, hypoglycemia, spinal muscle atrophy, rash, vomiting and excessive muscle movement. Most forms of BCAA metabolism errors are corrected by dietary restriction of BCAA and at least one form is correctable by supplementation with 10 mg of biotin daily. BCAA are useful because they are metabolized primarily by muscle. Stress state- e.g surgery, trauma, cirrhosis, infections, fever and starvation require proportionately more BCAA than other amino acids and probably proportionately more leucine than either valine or isoleucine. BCAA and other amino acids are frequently fed intravenously (TPN) to malnourished surgical patients and in some cases of severe trauma. BCAA, particularly leucine, stimulate protein synthesis, increase reutilization of amino acids in many organs and reduce protein breakdown. Furthermore, leucine can be an important source of calories, and is superior as fuel to the ubiquitous intravenous glucose (dextrose). Leucine also stimulates insulin release, which in turn stimulates protein synthesis and inhibits protein breakdown. These effects are particularly useful in athletic training. BCAA should also replace the use of steroids as commonly used by weightlifters. Huntington's chorea and anorexic disorders both are characterized by low serum BCAA. These diseases, as well as forms of Parkinson's, may respond to BCAA therapy. BCAA, and particularly leucine, are among the amino acids most essential for muscle health. ",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-10.59,-10.59,-3.71,-6.07,-4.17,-3.84,-4.06,,,,
115,Lincomycin,Lincomycin,2,Bases,5,Organic acids and derivatives,3,-3.9,-9.56,-9.23,407,7.77,Lincomycin,656509,HMDB15564,6472,DB01627,C06812,3QB,,,,"Lincomycin is an antibiotic produced by Streptomyces lincolnensis var. lincolnensis. It has been used in the treatment of staphylococcal, streptococcal, and Bacteroides fragilis infections. Lincomycin inhibits protein synthesis in susceptible bacteria by binding to the 50 S subunits of bacterial ribosomes and preventing peptide bond formation upon transcription. It is usually considered bacteriostatic, but may be bactericidal in high concentrations or when used against highly susceptible organisms.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-10.93,-10.04,-9.74,-6.17,-5.84,-6.15,-9.36,,,,
116,Lisinopril,Lisinopril,4,Zwitterions,6,"Amino acids, peptides, and analogues",5,-4.2,-16.1,-3.92,405,10.55,Lisinopril,5362119,HMDB01938,43755,DB00722,D00362,LPR,"SLC15A1(s,i), SLCO1B1(i), SLCO1B3(i)",ABCC2(i),,"Lisinopril is one of the angiotensin-converting enzyme inhibitors (ACE inhibitors), orally active, that has been used in the treatment of hypertension and congestive heart failure and heart attacks. Lisinopril has a number of properties that distinguish it from other ACE inhibitors: it is hydrophilic, has long half life and tissue penetration and is not metabolized by the liver.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-15.9,-16.08,-4.85,-7.54,-4.48,-4.28,-5.06,,,,
117,Loperamide,Loperamide,2,Bases,4,Benzenoids,10,-6.1,0.84,2.39,477,8.7,Loperamide,3955,HMDB04999,6532,DB00836,C07080,,"SLCO1B1(i), SLCO1B3(i), SLC22A1(i)","ABCB1(s,i), ABCC2(i), ABCG2(i)",,"Loperamide is an opioid receptor agonist and acts on the mu opioid receptors in the myenteric plexus large intestines; it does not affect the central nervous system like other opioids. Loperamide, usually as hydrochloride, is a drug effective against diarrhea resulting from gastroenteritis or inflammatory bowel disease. One of the long-acting synthetic antidiarrheals; it is not significantly absorbed from the gut, and has no effect on the adrenergic system or central nervous system, but may antagonize histamine and interfere with acetylcholine release locally; Loperamide is an opioid receptor agonist and acts on the mu opioid receptors in the myenteric plexus large intestines.",2018-08-16 02:02:17 UTC,2020-03-05 01:01:23 UTC,-1.32,-0.44,0.98,-3.51,-2.87,-2.05,0.04,,,,
118,Loratadine,Loratadine,1,Neutral,3,Organoheterocyclic compounds,5,-5.1,0.4,0.4,383,Loratadine,3957,HMDB05000,210803,DB00455,C06818,,"SLCO1B1(i), SLCO1B3(i), SLC22A1(i)","ABCB1(s,i), ABCG2(i)",,"Loratadine is a tricyclic antihistamine, which has a selective and peripheral H1-antagonist action. It has a long-lasting effect and does not normally cause drowsiness because it does not readily enter the central nervous system; An antiviral that is used in the prophylactic or symptomatic treatment of influenza A. It is also used as an antiparkinsonian agent, to treat extrapyramidal reactions, and for postherpetic neuralgia. The mechanisms of its effects in movement disorders are not well understood but probably reflect an increase in synthesis and release of dopamine, with perhaps some inhibition of dopamine uptake; Loratadine is a drug used to treat allergies. ",2018-08-16 02:02:17 UTC,2019-03-21 00:34:16 UTC,-0.85,-0.85,-0.85,-3.38,-3.38,-2.75,-1.55,,,,,
119,Loxapine,Loxapine,2,Bases,3,Organoheterocyclic compounds,7,-4.2,0.17,0.09,328,6.6,Loxapine,3964,HMDB14552,50841,DB00408,C07104,,,,Membrane,"Loxapine is an antipsychotic agent used in schizophrenia. Loxapine is a dopamine antagonist, and also a serotonin 5-HT2 blocker. The exact mode of action of Loxapine has not been established, however changes in the level of excitability of subcortical inhibitory areas have been observed in several animal species in association with such manifestations of tranquilization as calming effects and suppression of aggressive behavior.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-1.26,-1.07,-1.15,-3.49,-3.46,-2.86,-1.81,,,,
120,Mannitol,Mannitol,1,Neutral,1,Organooxygen compounds,2,-2,-12.88,-12.88,182,Mannitol,6251,HMDB00765,16899,DB00742,C00392,MTL,,ABCB1(s),"Extracellular, Membrane","Mannitol is a diuretic and renal diagnostic aid related to sorbitol. It has little significant energy value as it is largely eliminated from the body before any metabolism can take place. It can be used to treat oliguria associated with kidney failure or other manifestations of inadequate renal function and has been used for determination of glomerular filtration rate. Mannitol is also commonly used as a research tool in cell biological studies, usually to control osmolarity. Chemically, mannitol is an alcohol and a sugar, or a polyol; it is similar to xylitol or sorbitol. However, mannitol has a tendency to lose a hydrogen ion in aqueous solutions, which causes the solution to become acidic. For this, it is not uncommon to add a substance to adjust its pH, such as sodium bicarbonate. Mannitol is a non-permeating molecule i.e. it cannot cross biological membranes. Mannitol or hexan-1,2,3,4,5,6-hexol (C6H8(OH)6) is an osmotic diuretic agent and a weak renal vasodilator. ",2018-08-16 02:02:17 UTC,2019-03-21 00:34:16 UTC,-13.11,-13.11,-13.11,-6.77,-6.77,-7.44,-12.31,,,,,
121,Meperidine,Meperidine,2,Bases,3,Organoheterocyclic compounds,7,-3.4,0.26,1.51,247,8.58,Meperidine,4058,HMDB14597,122528,DB00454,C07128,,,,"Extracellular, Membrane","Meperidine is a narcotic analgesic that can be used for the relief of most types of moderate to severe pain, including postoperative pain and the pain of labor. Prolonged use may lead to dependence of the morphine type; withdrawal symptoms appear more rapidly than with morphine and are of shorter duration. ",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-1.84,-0.99,0.17,-3.65,-3.09,-2.36,-0.66,,,,
122,Meprobamate,Meprobamate,1,Neutral,5,Organic acids and derivatives,5,-2,-8.07,-8.07,218,Meprobamate,4064,HMDB14515,199389,DB00371,,,,ABCB1(i),Membrane,"Meprobamate is a carbamate with hypnotic, sedative, and some muscle relaxant properties, although in therapeutic doses reduction of anxiety rather than a direct effect may be responsible for muscle relaxation. Meprobamate has been reported to have anticonvulsant actions against petit mal seizures, but not against grand mal seizures (which may be exacerbated). It is used in the treatment of anxiety disorders, and also for the short-term management of insomnia but has largely been superseded by the benzodiazepines.",2018-08-16 02:02:17 UTC,2019-03-21 00:34:16 UTC,-8.67,-8.67,-8.67,-5.54,-5.54,-5.74,-8.42,,,,,
123,Methadone,Methadone,2,Bases,4,Benzenoids,7,-5.7,1.26,2.99,309,8.99,Methadone,4095,HMDB14477,6807,DB00333,C07163,,,"ABCB1(s,i)",Membrane,"A synthetic opioid that is used as the hydrochloride. It is an opioid analgesic that is primarily a mu-opioid agonist. It has actions and uses similar to those of morphine. It also has a depressant action on the cough center and may be given to control intractable cough associated with terminal lung cancer. Methadone is also used as part of the treatment of dependence on opioid drugs, although prolonged use of methadone itself may result in dependence. ",2018-08-16 02:02:17 UTC,2020-03-05 01:04:52 UTC,-0.87,-0.06,1.53,-2.73,-2.74,-1.84,0.52,,,,
124,Methanol,Methanol,1,Neutral,1,Organooxygen compounds,2,-0.5,-2.57,-2.57,32,Methanol,887,HMDB01875,17790,,C00132,MOH,,,"Extracellular, Lysosome, Endoplasmic reticulum","It is the simplest alcohol, and is a light, volatile, colourless, flammable, poisonous liquid with a distinctive odor that is somewhat milder and sweeter than ethanol.",2018-08-16 02:02:17 UTC,2019-03-21 00:34:17 UTC,-3.6,-3.6,-3.6,-4.14,-4.14,-3.8,-3.96,,,,,
125,Methotrexate,Methotrexate,3,Acids,5,Organic acids and derivatives,4,-0.5,-22.47,-15.3,454,3.17,Methotrexate,126941,HMDB14703,44185,DB00563,C01937,MTX,"SLCO1B3(s), SLCO1C1(s), SLCO1B1(s), SLC16A1(s), SLC19A1(s), SLC22A1(s), SLCO1A2(s), SLC46A1(s,i), SLCO3A1(s), SLC22A6(s,i), SLC22A7(s), SLC22A8(s,i)","ABCC2(s,i), ABCC1(s,i), ABCC3(s,i), ABCB1(s), ABCG2(s), ABCC4(s,i), ABCC10(i), ABCC11(s)","Cytoplasm, Extracellular, Membrane","Methotrexate is an antineoplastic antimetabolite with immunosuppressant properties. It is an inhibitor of tetrahydrofolate dehydrogenase and prevents the formation of tetrahydrofolate, necessary for synthesis of thymidylate, an essential component of DNA. Methotrexate anti-tumor activity is a result of the inhibition of folic acid reductase, leading to inhibition of DNA synthesis and inhibition of cellular replication. ",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-20.2,-21.95,-15.34,-8.74,-7.39,-8.29,-14.27,,,,
126,Methylamine,Methylamine,2,Bases,2,Organonitrogen compounds,2,-0.2,-5.07,-2.31,31,10.01,Methylamine,6329,HMDB00164,16830,DB01828,C00218,NME,,,Cytoplasm,"Methylamine occurs endogenously from amine catabolism and its tissue levels increase in some pathological conditions, including diabetes. Interestingly, methylamine and ammonia levels are reciprocally controlled by a semicarbazide-sensitive amine oxidase activity that deaminates methylamine to formaldehyde with the production of ammonia and hydrogen peroxide. Methylamine also targets the voltage-operated neuronal potassium channels, probably inducing release of neurotransmitter(s). Semicarbazide-sensitive amine oxidase (SSAO) catalyzes the deamination of primary amines. Such deamination has been shown capable of regulating glucose transport in adipose cells. It has been independently discovered that the primary structure of vascular adhesion protein-1 (VAP-1) is identical to SSAO. Increased serum SSAO activities have been found in patients with diabetic mellitus, vascular disorders and Alzheimer's disease. The SSAO-catalyzed deamination of endogenous substrates like methylamine led to production of toxic formaldehyde. Chronic elevated methylamine increases the excretion of malondialdehyde and microalbuminuria. Amine oxidase substrates such as methylamine have been shown to stimulate glucose uptake by increasing the recruitment of the glucose transporter GLUT4 from vesicles within the cell to the cell surface.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:38 UTC,-6.79,-5.9,-3.35,-5.02,-4.07,-3.71,-3.75,,,,
127,Methylprednisolone,Methylprednisolone,1,Neutral,9,Lipids and lipid-like molecules,5,-3.8,-4.95,-4.95,374,Methylprednisolone,6741,HMDB15094,6888,DB00959,,,,"ABCB1(s), ABCG2(i)","Cytoplasm, Extracellular, Membrane","Methylprednisolone is a prednisolone derivative with similar anti-inflammatory action. Unbound glucocorticoids cross cell membranes and bind with high affinity to specific cytoplasmic receptors, modifying transcription and protein synthesis. By this mechanism, glucocorticoids can inhibit leukocyte infiltration at the site of inflammation, interfere with mediators of inflammatory response, and suppress humoral immune responses. The antiinflammatory actions of corticosteroids are thought to involve phospholipase A2 inhibitory proteins, lipocortins, which control the biosynthesis of potent mediators of inflammation such as prostaglandins and leukotrienes.",2018-08-16 02:02:17 UTC,2019-03-21 00:34:17 UTC,-5.8,-5.8,-5.8,-4.75,-4.75,-4.64,-5.89,,,,,
128,Metoclopramide,Metoclopramide,2,Bases,4,Benzenoids,7,-1.3,-5.61,-3.46,300,9.43,Metoclopramide,4168,HMDB15363,107736,DB01233,C07868,,"SLC22A1(s,i)",,"Cytoplasm, Membrane","Metoclopramide is a dopamine D2 antagonist that is used as an antiemetic. Metoclopramide inhibits gastric smooth muscle relaxation produced by dopamine, therefore increasing cholinergic response of the gastrointestinal smooth muscle. It accelerates intestinal transit and gastric emptying by preventing relaxation of gastric body and increasing the phasic activity of antrum. Simultaneously, this action is accompanied by relaxation of the upper small intestine, resulting in an improved coordination between the body and antrum of the stomach and the upper small intestine. Metoclopramide also decreases reflux into the esophagus by increasing the resting pressure of the lower esophageal sphincter and improves acid clearance from the esophagus by increasing amplitude of esophageal peristaltic contractions. Metoclopramide's dopamine antagonist action raises the threshold of activity in the chemoreceptor trigger zone and decreases the input from afferent visceral nerves. Studies have also shown that high doses of metoclopramide can antagonize 5-hydroxytryptamine (5-HT) receptors in the peripheral nervous system in animals.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,-7.23,-6.41,-4.41,-5.14,-4.36,-4.11,-4.68,,,,
129,Metoprolol,Metoprolol,2,Bases,4,Benzenoids,6,-3.4,-2.87,1.29,267,9.56,Metoprolol,4171,HMDB01932,6904,DB00264,C07202,,"SLC15A1(s), SLC22A1(i), SLC22A2(i), SLCO1B1(i), SLCO1B3(i)","ABCB1(s,i), ABCC2(i)",,Metoprolol is a selective beta1 receptor blocker used in treatment of several diseases of the cardiovascular system. It is a selective adrenergic beta-1-blocking agent with no stimulatory action. It's binding to plasma albumin is weaker than alprenolol and it may be useful in the treatment of several diseases of the cardiovascular system, Metoprolol is a selective beta1 receptor blocker used in treatment of several diseases of the cardiovascular system. ,2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,-4.76,-3.87,-0.04,-4.46,-3.15,-2.44,-0.84,,,
130,Midazolam,Midazolam,2,Bases,3,Organoheterocyclic compounds,5,-5.2,1.58,0.82,326,6.04,Midazolam,4192,HMDB14821,127611,DB00683,C07524,08J,"SLC22A1(i), SLC1B1(i), SLC1B3(i)","ABCB1(s,i,inducer)",Membrane,"A short-acting hypnotic-sedative drug with anxiolytic and amnestic properties. It is used in dentistry, cardiac surgery, endoscopic procedures, as preanesthetic medication, and as an adjunct to local anesthesia. The short duration and cardiorespiratory stability makes it useful in poor-risk, elderly, and cardiac patients. It is water-soluble at pH less than 4 and lipid-soluble at physiological pH. ",2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,0.24,0.24,-0.47,-3.07,-3.27,-2.61,-1.22,,,,
131,Minoxidil,Minoxidil,1,Neutral,2,Organonitrogen compounds,3,-1.9,-4.04,-4.04,209,Minoxidil,4201,HMDB14494,6942,DB00350,,MXD,,,"Cytoplasm, Membrane","Minoxidil is a potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure. Minoxidil is thought to promote the survival of human dermal papillary cells (DPCs) or hair cells by activating both extracellular signal-regulated kinase (ERK) and Akt and by preventing cell death by increasing the ratio of BCl/Bax. Minoxidil may stimulate the growth of human hairs by prolonging anagen through these proliferative and anti-apoptotic effects on DPCs. Minoxidil, when used as a vasodilator, acts by opening adenosine triphosphate-sensitive potassium channels in vascular smooth muscle cells. This vasodilation may also improve the viability of hair cells or hair follicles.",2018-08-16 02:02:17 UTC,2019-03-21 00:34:17 UTC,-4.95,-4.95,-4.95,-4.51,-4.51,-4.32,-5.15,,,,,
132,Mitoxantrone,Mitoxantrone,2,Bases,4,Benzenoids,5,-1.4,-16.57,-9.54,444,8.95,Mitoxantrone,4212,HMDB15335,50729,DB01204,C11195,MIX,"SLC22A4(s), SLC22A1(i), SLC47A1(i), SLCO1B1(i) ,SLCO1B3(i) ","ABCC1(s,i), ABCC2(s), ABCB1(s,i,inducer), ABCG2(s,i)","Cytoplasm, Membrane","Mitoxantrone is an anthracenedione-derived antineoplastic agent.Mitoxantrone, a DNA-reactive agent that intercalates into deoxyribonucleic acid (DNA) through hydrogen bonding, causes crosslinks and strand breaks. Mitoxantrone also interferes with ribonucleic acid (RNA) and is a potent inhibitor of topoisomerase II, an enzyme responsible for uncoiling and repairing damaged DNA. It has a cytocidal effect on both proliferating and nonproliferating cultured human cells, suggesting lack of cell cycle phase specificity.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,-16.51,-16.51,-10.03,-7.71,-5.92,-6.26,-9.61,,,,
133,Morphine,Morphine,2,Bases,8,Alkaloids and derivatives,9,-1.96,-1.96,-2.36,285,8.17,Morphine,5288826,HMDB14440,17303,DB00295,C01516,MOI,SLC22A1(i),"ABCB1(s,i)",Membrane,"Morphine is the principal alkaloid in opium and the prototype opiate analgesic and narcotic. Morphine has widespread effects in the central nervous system and on smooth muscle. The precise mechanism of the analgesic action of morphine is unknown. However, specific CNS opiate receptors have been identified and likely play a role in the expression of analgesic effects. Morphine first acts on the mu-opioid receptors. The mechanism of respiratory depression involves a reduction in the responsiveness of the brain stem respiratory centers to increases in carbon dioxide tension and to electrical stimulation.It has been shown that morphine binds to and inhibits GABA inhibitory interneurons. ",2018-08-16 02:02:17 UTC,2020-03-05 00:59:51 UTC,-6.01,-5.13,-3.4,-4.8,-4.08,-3.73,-3.78,,,,
134,Nadolol,Nadolol,2,Bases,4,Benzenoids,5,-4.1,-4.53,-1.93,309,9.38,Nadolol,39147,HMDB15334,127570,DB01203,,,SLC1A2(s),"ABCB1(s),ABCG2(i)",Membrane,"Nadolol is a non-selective beta-adrenergic antagonist with a long half-life, used in cardiovascular disease to treat arrhythmias, angina pectoris, and hypertension. Nadolol is also used for migraine disorders and for tremor. Like other beta-adrenergic antagonists, nadolol competes with adrenergic neurotransmitters such as catecholamines for binding at sympathetic receptor sites. Like propranolol and timolol, nadolol binds at beta(1)-adrenergic receptors in the heart and vascular smooth muscle, inhibiting the effects of the catecholamines epinephrine and norepinephrine and decreasing heart rate, cardiac output, and systolic and diastolic blood pressure. It also blocks beta-2 adrenergic receptors located in bronchiole smooth muscle, causing vasoconstriction. By binding beta-2 receptors in the juxtaglomerular apparatus, nadolol inhibits the production of renin, thereby inhibiting angiotensin II and aldosterone production. Nadolol therefore inhibits the vasoconstriction and water retention due to angiotensin II and aldosterone, respectively.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,-6.29,-5.4,-3.01,-4.88,-3.97,-3.58,-3.45,,,,
135,Nalbuphine,Nalbuphine,2,Bases,4,Benzenoids,5,-3.4,-4.95,-0.66,357,9.4,Nalbuphine,5311304,HMDB14982,7454,DB00844,C07251,,,ABCB1(s),Membrane,"Nalbuphine is a narcotic used as a pain medication. It appears to be an agonist at kappa opioid receptors and an antagonist or partial agonist at mu opioid receptors. The exact mechanism of action is unknown, but is believed to interact with an opiate receptor site in the CNS (probably in or associated with the limbic system). The opiate antagonistic effect may result from competitive inhibition at the opiate receptor, but may also be a result of other mechanisms. Nalbuphine is thought primarily to be a kappa agonist. It is also a partial mu antagonist analgesic, with some binding to the delta receptor and minimal agonist activity at the sigma receptor.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,-6.68,-5.8,-1.83,-4.99,-3.65,-3.13,-2.41,,,,
136,Naproxen,Naproxen,3,Acids,4,Benzenoids,10,-3.2,-3.51,-0.35,230,4.14,Naproxen,156391,HMDB01923,7476,DB00788,C01517,NPS,"SLC22A6(i), SLC22A7(i), SLC22A8(i), SLC22A11(i),SLCO1A2(i)",ABCC2(i),,"Naproxen (INN) is a non-steroidal anti-inflammatory drug commonly used for the reduction of mild to moderate pain, fever, inflammation and stiffness caused by conditions such as osteoarthritis, rheumatoid arthritis, psoriatic arthritis, gout, ankylosing spondylitis, injury (like fractures), menstrual cramps, tendonitis, bursitis, and the treatment of primary dysmenorrhea. Naproxen and naproxen sodium are commonly used for the reduction of mild to moderate pain, fever, inflammation and stiffness caused by conditions such as osteoarthritis, rheumatoid arthritis, psoriatic arthritis, gout, ankylosing spondylitis, injury (like fractures), menstrual cramps, tendonitis, bursitis, and the treatment of primary dysmenorrhea. Naproxen is lipid-soluble, practically insoluble in water with a low pH (below pH 4), while freely soluble in water at 6 pH and above. ",2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,-3.59,-4.46,-1.55,-4.13,-3.57,-3.02,-2.16,,,,
137,Nelfinavir,Nelfinavir,2,Bases,6,"Amino acids, peptides, and analogues",3,-7.8,0.5,1.13,568,8.21,Nelfinavir,64143,HMDB14365,117224,DB00220,C07257,1UN,"SLCO1B1(i), SLC22A1(i), SLCO1A2(i)","ABCB1(s,i,inducer), ABCC2(s,inducer), ABCG2(i)","Cytoplasm, Membrane","Nelfinavir is a potent HIV-1 protease inhibitor. It is used in combination with other antiviral drugs in the treatment of HIV in both adults and children. Nelfinavir inhibits the HIV viral proteinase enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.",2018-08-16 02:02:17 UTC,2019-05-22 02:17:39 UTC,-0.74,-0.76,-0.19,-3.35,-3.19,-2.5,-0.97,,,,
138,Niacinamide,Nicotinamide,1,Neutral,3,Organoheterocyclic compounds,2,-1.5,-4.14,-4.14,122,Niacinamide,936,HMDB01406,17154,DB02701,C00153,NCA,,,Extracellular,"Niacinamide or vitamin B3 is an important compound functioning as a component of the coenzyme NAD. Its primary significance is in the prevention and/or cure of blacktongue and pellagra. Most animals cannot manufacture this compound in amounts sufficient to prevent nutritional deficiency and it therefore must be supplemented through dietary intake. Niacinamide is used to increase the effect of radiation therapy on tumor cells. Niacin (nicotinic acid) and niacinamide, while both labeled as vitamin B3 also have different applications. Niacinamide is useful in arthritis and early-onset type I diabetes while niacin is an effective reducer of high cholesterol levels.",2018-08-16 02:02:17 UTC,2019-03-21 00:34:17 UTC,-5.04,-5.04,-5.04,-4.54,-4.54,-4.35,-5.23,,,,,
