smarts,label
[C!H0]=C(C#N)C(=O),"Reactive, unstable, toxic"
[!c][C!H0]=CC=O,"Reactive, unstable, toxic"
"[C!H0]=C[S,N]=O","Reactive, unstable, toxic"
nC(=O)[#6],"Reactive, unstable, toxic"
[NR0]-[SR0!v6],"Reactive, unstable, toxic"
"C(=O)O[$(aa[Nv4,S!v2]),$(aaa[Nv4,S!v2]),$(aaaa[Nv4,S!v2])]","Reactive, unstable, toxic"
"C1[O,S]CC1","Reactive, unstable, toxic"
"CC(=O)C([F,Cl,Br,I])([F,Cl,Br,I])[F,Cl,Br,I]","Reactive, unstable, toxic"
OO,"Reactive, unstable, toxic"
[#6]P(=O)O[#6],"Reactive, unstable, toxic"
"NP(=[N,O,S])","Reactive, unstable, toxic"
O=C1C=CC(=O)C=C1,"Reactive, unstable, toxic"
O=C1C(=O)C=CC=C1,"Reactive, unstable, toxic"
"[#6!v4+0,#7!v3+0,#8!v2+0,#15!v3!v5+0,#16!v2!v4!v6+0]","Reactive, unstable, toxic"
SC#N,"Reactive, unstable, toxic"
[!#1]OS(=O)O,"Reactive, unstable, toxic"
[#6]S(=O)(=O)O[#6],"Reactive, unstable, toxic"
"C(=S)[O,S,N]","Reactive, unstable, toxic"
[CR0](=O)S,"Reactive, unstable, toxic"
[#6][Sv2H],"Reactive, unstable, toxic"
C(=S)[!#1!H0],"Reactive, unstable, toxic"
C(=O)N(C(=O))OC=O,"Reactive, unstable, toxic"
FC(F)(F)S(=O),"Reactive, unstable, toxic"
[#6!c][N!v3]=O,"Reactive, unstable, toxic"
c12ccccc1cc3ccccc3c2,"Reactive, unstable, toxic"
"[NR0,SR0]=[NR0]","Reactive, unstable, toxic"
c1(cc(N)cc2)c2cccc1,"Reactive, unstable, toxic"
[#6]P[#6],"Reactive, unstable, toxic"
"[Cl,I]=O","Reactive, unstable, toxic"
"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]","Reactive, unstable, toxic"
[OR1][CR1][CR1][OR1][CR1][CR1][OR1],"Reactive, unstable, toxic"
PC#N,"Reactive, unstable, toxic"
N#CC[OH],"Reactive, unstable, toxic"
[CX3R0](=O)[CX3R0](=O),"Reactive, unstable, toxic"
[NR0v3]-[OR0],"Reactive, unstable, toxic"
"[$([#6][CHR0]=[NR0]),$([#6][CR0]([#6])=[NR0])]","Reactive, unstable, toxic"
C=C(C#N)(C#N),"Reactive, unstable, toxic"
"[$([#7+][O-]),$([#7v5]=O);!$([#7](~[OD1])~[OD1])]","Reactive, unstable, toxic"
[!#1]ON=O,"Reactive, unstable, toxic"
[NX2]=O,"Reactive, unstable, toxic"
[!#1;!#6;!#7;!#8;!#9;!#11;!#12;!#15;!#16;!#17;!#19;!#20;!#35;!#53],"Reactive, unstable, toxic"
"P=[S,#6]","Reactive, unstable, toxic"
c1c(F)c(F)c(F)c(F)c1(F),"Reactive, unstable, toxic"
c12ccccc1ccc3ccccc23,"Reactive, unstable, toxic"
c1([NH2])ccc(!@[Nv3])cc1,"Reactive, unstable, toxic"
[P!v5],"Reactive, unstable, toxic"
[CR0]=[CR0][CR0]=[CR0][CR0]=[CR0][CR0]=[CR0],"Reactive, unstable, toxic"
[CX4]C(=O)O[#6][!#1],"Reactive, unstable, toxic"
[CX4]C(=O)C,"Reactive, unstable, toxic"
"[CX4][NX3]([CX4])c1cc([$([CX4]),$(O[CX4][CX4])])c([#7])[cH]c1","Reactive, unstable, toxic"
[CX4][NX3]([CX4])c1c[cH]c([#7])[cH]c1,"Reactive, unstable, toxic"
[CX4][NX3]([CX4])c1ccc(C=C)cc1,"Reactive, unstable, toxic"
[CX4][NH]c1ccc(O[CX4])cc1,"Reactive, unstable, toxic"
[CX4]N([CX4])c1ccc(O[CX4])cc1,"Reactive, unstable, toxic"
"[CX4]N([CX4])c1ccc([CX4][$([OH]),$(C=[C!H0]),$(N[CX4])])cc1","Reactive, unstable, toxic"
"[CX4]N([C!H0])c1[cH][cH]c([$([C!H0!H1]),$([C!H0][C!H0])])[cH][cH]1","Reactive, unstable, toxic"
"[CX4]N([C!H0])c1[cH]c([CX4])c([$([C!H0!H1]),$([C!H0][C!H0])])[cH][cH]1","Reactive, unstable, toxic"
P(=O)OP(=O),"Reactive, unstable, toxic"
S(=O)OS=O,"Reactive, unstable, toxic"
"C1(=C)C(=O)[#7,#8,#15,#16]N=C1","Reactive, unstable, toxic"
C1(=S)NC(=O)C(=[#6])S1,"Reactive, unstable, toxic"
"[#7,#8,#15,#16]~C1~[#7,#8,#15,#16]~C[#7,#8,#15,#16][CX3](=[#7,#8,#15,#16])[CX3]1(=[C!H0])","Reactive, unstable, toxic"
C1CC(=O)NC(=O)C1,"Reactive, unstable, toxic"
[CD1][CD2][CD2][CD2][CD2][CX4],"Reactive, unstable, toxic"
[OH]c1c(C=NN)cccc1,"Reactive, unstable, toxic"
[OH]c1ccc(C=NN)cc1,"Reactive, unstable, toxic"
"[#6][#6](=[#7,#8,#15,#16])[#6](=[#7,#8,#15,#16])[#6,Sv6]","Reactive, unstable, toxic"
O=C1[#7]c2ccccc2C1=N[#7],"Reactive, unstable, toxic"
"[nH]1c([$([CH2]),$([C!H0]N),$([CD3]([CH2])[NH][CH2]),$([CD3]([CH2])[CD2][NH][CH2]),$([#6]=,:[#7,#8,#15,#16])])c([CX4!H0])c2[cH]cccc12","Reactive, unstable, toxic"
"n1([CH2])c([$([CH2]),$([C!H0]N),$([CD3]([CH2])[NH][CH2]),$([CD3]([CH2])[CD2][NH][CH2]),$([#6]=,:[#7,#8,#15,#16])])c([CX4!H0])c2[cH]cccc12","Reactive, unstable, toxic"
"[*r10,*r11,*r12,*r13,*r14,*r15,*r16,*r17,*r18,*r19,*r20,*r21,*r22,*r23,*r24,*r25,*r26,*r27,*r28,*r29,*r30]","Reactive, unstable, toxic"
[OH]c1c([CX4][#7])cccc1,"Reactive, unstable, toxic"
"NC(=[O,S])NC(=[O,S])NC=[O,S]","Reactive, unstable, toxic"
C1COC(C1)C1CCCCO1,"Reactive, unstable, toxic"
[C!H0]1NC(=O)C2CCCCC12,"Reactive, unstable, toxic"
N1(c2[!#1]cccc2)C([CX4])=C[C!H0]=C1[CX4],"Reactive, unstable, toxic"
"[#7,#8,#15,#16]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[#7,#8,#15,#16])-,:[#6]=,:[#6]1","Reactive, unstable, toxic"
"[#7]=C1S[CH]=C([$([CH2]),$(c:c)])N1","Reactive, unstable, toxic"
"[#7]=C1SC([$([CH2]),$(C=O)])=C([$([CH2]),$(c:c)])N1","Reactive, unstable, toxic"
c[CX4](c)c,"Reactive, unstable, toxic"
"[CH2,CH3]C#C[CH2,CH3]","Reactive, unstable, toxic"
"[CX3](=[OX1])[CX4]([#1,Cl,Br,I])([#1,Cl,Br,I])[Cl,Br,I]","Reactive, unstable, toxic"
"[#6,#1][CX3]([H])=[OX1]","Reactive, unstable, toxic"
"[F,Cl,Br,I][CX4][CX2]#[NX1]","Reactive, unstable, toxic"
"[c,n]1[c,n][c,n]c2[c,n]c3[c,n][c,n][c,n][c,n]c3[c,n]c2c1","Reactive, unstable, toxic"
"[#6]-[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]","Reactive, unstable, toxic"
[#6]-[NX2-][NX2+]#[NX1;0],"Reactive, unstable, toxic"
"[#7,#8,#16]1-,:[#6]=,:[#6]-,:[#7+]2=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6]21","Reactive, unstable, toxic"
c1([OH1])c([OH1])cccc1,"Reactive, unstable, toxic"
"[NX2]=[CX2]=[OX1,SX1]","Reactive, unstable, toxic"
"[#1,#6][CX3](=[OX1])[CX3](=[OX1])[#1,#6]","Reactive, unstable, toxic"
C1OC1,"Reactive, unstable, toxic"
"[C!H0]([#1,#6,#7,#8,#16])[CX4]([#1,Cl,Br,I])([#1,Cl,Br,I])[Cl,Br,I]","Reactive, unstable, toxic"
"[CX4]([#1,Cl,Br,I])([#1,Cl,Br,I])([Cl,Br,I])[#7,#8,#16]","Reactive, unstable, toxic"
"[CX3!H0]=[CX3]([#1,Cl,Br,I])[Cl,Br,I]","Reactive, unstable, toxic"
"c1([F,Cl,Br,I])n[c,n][c,n][c,n][c,n]1","Reactive, unstable, toxic"
"[CH3][CH2][CH2][CH2][CH2][CH2][CH2,CH3]","Reactive, unstable, toxic"
"[NX3!H0]([#1,#6])[NX3!H0]([#1,#6])","Reactive, unstable, toxic"
"[NX3]([#1,#6])([#1,#6])[NX2]=[CX3!H0]([#1,#6])","Reactive, unstable, toxic"
"[$([OX1-][#7+]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]1),$([OX1]=[#7v5]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]1)]","Reactive, unstable, toxic"
"[$([OX1-][#7+]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7,#8,#16]1),$([OX1]=[#7v5]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7,#8,#16]1)]","Reactive, unstable, toxic"
[#15&0],"Reactive, unstable, toxic"
[#15+],"Reactive, unstable, toxic"
c1c(F)c(F)c(F)c(F)c1(F),"Reactive, unstable, toxic"
[OX2][OX2],"Reactive, unstable, toxic"
"O[F,Cl,Br,I]","Reactive, unstable, toxic"
[Pv5X4](=[OX1])([OX2])([OX2])[#6],"Reactive, unstable, toxic"
[#15]=O,"Reactive, unstable, toxic"
"[#6][#7+]1=,:[#6]-,:[#6,#7]=,:[#6]-,:[#6,#7]=,:[#6]1","Reactive, unstable, toxic"
"[#6,#7]1=,:[#6,#7]-,:[#6,#7]=,:[#7+]2-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6]2=,:[#6,#7]1","Reactive, unstable, toxic"
"[#6]1(=[OX1])-,:[#6]=,:[#6]-,:[#6](=[OX1])-,:[#6]=,:[#6]1","Reactive, unstable, toxic"
"[Sv6X4](=[OX1])(=[OX1])([#8])[#6,#8]","Reactive, unstable, toxic"
"[#6,#1][CX3]([H])=[SX1]","Reactive, unstable, toxic"
"[#16][F,Cl,Br,I]","Reactive, unstable, toxic"
"[#6&!$(C(=[OX1,SX1,NX2]))][SX2H1]","Reactive, unstable, toxic"
"[NX3H2][CX3](=[SX1])[#1,#6,#8]","Reactive, unstable, toxic"
"[NX3]([#1,#6,#7])([#1,#6])[CX3](=[SX1])[NX3]([#1,#6,#7])([#1,#6])","Reactive, unstable, toxic"
"[#6][#7+]1=,:[#6]-,:[#7,#8,#16]-,:[#6]=,:[#6]1","Reactive, unstable, toxic"
"[Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Reactive, unstable, toxic"
"[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]","Reactive, unstable, toxic"
"[CX4][F,Cl,Br,I]","Reactive, unstable, toxic"
[NX2]=[CX2]=[OX1],"Reactive, unstable, toxic"
[NX2]=[CX2]=[SX1],"Reactive, unstable, toxic"
"[$(c([F,Cl,Br,I])c[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$(c([F,Cl,Br,I])aac[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$(c([F,Cl,Br,I])n),$(c([F,Cl,Br,I])aan)]","Reactive, unstable, toxic"
[CX3](=[OX1])[OX2][CX3](=[OX1]),"Reactive, unstable, toxic"
"[$([#1,#6][CX3]([H])=[OX1]),$([#7]([#1,#6])([#1,#6])[CX3H1]=[OX1])]","Reactive, unstable, toxic"
"[#1,#6][NX3]([#1,#6])[NX3]([#1,#6])[#1,#6]","Reactive, unstable, toxic"
"[$(*-[NX2-]-[NX2+]#[NX1]),$(*-[NX2]=[NX2+]=[NX1-]),$(*-[NX2]=[NX2+]=N)]","Reactive, unstable, toxic"
"[$([CX3]=[NX2+]=N),$([CX3]=[NX2]=[NX1]),$([CX3]=[NX2+]=[NX1-]),$([#6-][NX2+]#[NX1]),$([CX3][NX2]#[NX1])]","Reactive, unstable, toxic"
[NX2]=[OX1],"Reactive, unstable, toxic"
[NX3]1[CX4][CX4]1,"Reactive, unstable, toxic"
[OX2]1[CX4][CX4]1,"Reactive, unstable, toxic"
[SX2][SX2],"Reactive, unstable, toxic"
"c1([OH1,O-])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])","Reactive, unstable, toxic"
"[$([Clv7X4](=[OX1])(=[OX1])(=[OX1])[OX2,O-]),$([Iv7X4](=[OX1])(=[OX1])(=[OX1])[OX2,O-])]","Reactive, unstable, toxic"
"[$(c1([NX3]([#1,#6])[#1,#6])ccccc1),$(c1([OH1])ccccc1)]","Reactive, unstable, toxic"
[CX3R](=[OX1])[CX3R](=[OX1]),"Reactive, unstable, toxic"
[CX3]([!R])([!R])=[CX3][CX3](=[OX1])[!$([OH1])!$([OX2][CH2])!$([NH2])!$([CX2]#[NX1])!a],"Reactive, unstable, toxic"
[!#1;!#6;!#7;!#8;!#9;!#11;!#12;!#15;!#16;!#17;!#19;!#20;!#35;!#53],"Reactive, unstable, toxic"
[!#1!#2!#5!#6!#7!#8!#9!#10!#14!#15!#16!#17!#18!#32!#33!#34!#35!#36!#51!#52!#53!#54!#84!#85!#86],Custom filters
[!#6!#1!#7!#8!#9!#17!#35!#53!#15!#14!#16],Custom filters
[!#1!#6!#7!#8!#16!#15!#9!#17!#35!#53],Custom filters
C(F)(F)C(F)(F),Custom filters
"[+,++,+3,+4,+5,+6,+7,$([#7v4]),$([#8v3])] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2 show full SMARTS",Extended Functional Groups (EFG)
"[-,--,-3,-4,-5,-6,-7] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-] show full SMARTS",Extended Functional Groups (EFG)
"[$([H][CX3]([#1,#6])=[OX1]),$([#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)])]",Extended Functional Groups (EFG)
"[H][CX3]([#1,#6])=[OX1]",Extended Functional Groups (EFG)
[#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)],Extended Functional Groups (EFG)
"[$([#1,#6][#6X3](=[SX1])[#1,#6]),$([#6]=[CX2]=[Sv2X1])]",Extended Functional Groups (EFG)
"[#1][CX3]([#1,#6])=[SX1]",Extended Functional Groups (EFG)
[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)],Extended Functional Groups (EFG)
"[#1,#6][CX3](=[NX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6]",Extended Functional Groups (EFG)
"[CX3]([#1,#6])([#1,#6])=[NX2][#7X3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6][CX3]([#1,#6])=[NX2][OH1]",Extended Functional Groups (EFG)
"[#1,#6][CX3]([#1,#6])=[NX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[OX1]=[CX2]=[CX3]([#1,#6])[#1,#6]",Extended Functional Groups (EFG)
"[#1,#6][CX3]([#1,#6])=[CX3]([!#6!#1])[!#6!#1]",Extended Functional Groups (EFG)
"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OH1]",Extended Functional Groups (EFG)
"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,*])[#1,*]",Extended Functional Groups (EFG)
"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([NX3]([#1,*])[#1,*])[NX3]([#1,*])[#1,*]",Extended Functional Groups (EFG)
"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[NX3]([#1,*])[#1,*]",Extended Functional Groups (EFG)
"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[SX2,OX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)]",Extended Functional Groups (EFG)
"[CX3]([#1,#6])([#1,#6])=[CX3]([#1,#6])[NX3&!$([NX3](=[OX1])=[OX1])&!$([NX3+](=[OX1])[O-])]([#1,*])[#1,*]",Extended Functional Groups (EFG)
"[CX3]([#1,#6])([#1,#6])=[CX3]([OH1])[#1,#6]",Extended Functional Groups (EFG)
"[CX3]([#1,#6])([#1,#6])=[CX3]([OX2][#6&!$([CX3]([OX2])=[OX1,SX1,NX2,C])])[#1,#6]",Extended Functional Groups (EFG)
"[#6&!$([CX4]([OH1])[#8,#16,#7,#15])&!$([CX3]([OH1])=[OX1,SX1,NH2,C])][OH1]",Extended Functional Groups (EFG)
"[$([CX4][OH1])&!$(C([OH1])[#7,#8,#15,#16,F,Cl,Br,I])]",Extended Functional Groups (EFG)
"[$([#6][CH2][OH1]),$([CH3][OH1])]",Extended Functional Groups (EFG)
[OH1][CX4H1]([#6])[#6],Extended Functional Groups (EFG)
[CX4]([OH1])([#6])([#6])[#6],Extended Functional Groups (EFG)
"[CX4]([OH1])([#1,#6])([#1,#6])[CX4]([OH1])([#1,#6])([#1,#6])",Extended Functional Groups (EFG)
"[CX4]([#1,#6])([#1,#6])([OH1])[CX4]([#1,#6])([#1,#6])[NH2,$([NH1]([CX4][CX4][OH1])[#6&!$([CX3]=[OX1,SX1,NX2,C])])]",Extended Functional Groups (EFG)
c[OH1],Extended Functional Groups (EFG)
"[$(c([OH1])c([OH1])),$(c([OH1])[aR1]c([OH1])),$(c1([OH1])aac([OH1])aa1)]",Extended Functional Groups (EFG)
"[CX3]([#1,#6])([OH1])=[CX3]([#1,#6])([OH1])",Extended Functional Groups (EFG)
"[#6&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([OX2])=[OX1,SX1,NX2,C])][OX2][#6&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([OX2])=[OX1,SX1,NX2,C])]",Extended Functional Groups (EFG)
"[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2][CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))]",Extended Functional Groups (EFG)
"[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2]c",Extended Functional Groups (EFG)
c[OX2&!$([OX2r3])]c,Extended Functional Groups (EFG)
[*][#16X2][#16X2][*],Extended Functional Groups (EFG)
"[#6&!$([CX3]=[OX1,SX1,NX2])][OX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6][OX2][OX2H1]",Extended Functional Groups (EFG)
"[$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])][$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])]",Extended Functional Groups (EFG)
"[N&!$([NH1]([CX3]=[OX1,SX1,NX2])[OH1])&!$(N([OH1])([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[OH1]",Extended Functional Groups (EFG)
"[NX3H2][CX4&!$([CX4]([NH2])[O,N,S,P])]",Extended Functional Groups (EFG)
[NX3H2]c,Extended Functional Groups (EFG)
"[NX3H1]([CX4&!$([CX4]([NX3H1])[O,S,N,P])])[CX4&!$([CX4]([NX3H1])[O,S,N,P])]",Extended Functional Groups (EFG)
"c[NX3H1][CX4&!$([CX4]([NX3H1])[O,N,S,P])]",Extended Functional Groups (EFG)
[NX3H1](c)c,Extended Functional Groups (EFG)
"[NX3]([CX4&!$([CX4]([NX3])[O,S,N,P])])([CX4&!$([CX4]([NX3])[O,S,N,P])])[CX4&!$([CX4]([NX3])[O,S,N,P])]",Extended Functional Groups (EFG)
"c[NX3]([CX4&!$([CX4]([NX3])[O,N,S,P])])[c,CX4&!$([CX4]([NX3]c)[O,S,N,P])]",Extended Functional Groups (EFG)
[NX3](c)(c)c,Extended Functional Groups (EFG)
"[NX4,NX4+]([#6])([#6])([#6])[#6]",Extended Functional Groups (EFG)
"[$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1]=[Nv5X3&!$([Nv5X3](=[OX1])=[OX1])](=[*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R]))]",Extended Functional Groups (EFG)
"[CX4,CX3,c;!$([#6]=[OX1])][F,Cl,Br,I]",Extended Functional Groups (EFG)
"[CX4]F AND NOT [$([CX4](F)[CX3]=[CX3]),$([CX4](F)[CX2]#[CX2]),$([CX4](F)a)]",Extended Functional Groups (EFG)
"[CX4]Cl AND NOT [$([CX4](Cl)[CX3]=[CX3]),$([CX4](Cl)[CX2]#[CX2]),$([CX4](Cl)a)]",Extended Functional Groups (EFG)
"[CX4]Br AND NOT [$([CX4](Br)[CX3]=[CX3]),$([CX4](Br)[CX2]#[CX2]),$([CX4](Br)a)]",Extended Functional Groups (EFG)
"[CX4]I AND NOT [$([CX4](I)[CX3]=[CX3]),$([CX4](I)[CX2]#[CX2]),$([CX4](I)a)]",Extended Functional Groups (EFG)
aF,Extended Functional Groups (EFG)
aCl,Extended Functional Groups (EFG)
aBr,Extended Functional Groups (EFG)
aI,Extended Functional Groups (EFG)
[!#1!#2!#5!#6!#7!#8!#9!#10!#14!#15!#16!#17!#18!#32!#33!#34!#35!#36!#51!#52!#53!#54!#84!#85!#86]~[#6],Extended Functional Groups (EFG)
[Li][#6],Extended Functional Groups (EFG)
[Mg][#6],Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[!#1!#6!$([SH1,SX2])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[OX2H1]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[OX1-]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#6R][CX3R](=[OX1])[OX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[NX3H2]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[NX3H1][#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[NX3]([#6&!$([CX3]=[OX1,SX1,NX2])])[#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#6R][CX3R](=[OX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[$([#6,#1][#6X3](=[OX1])[#7X3&!$([#7X3]([*]=[OX1,SX1])[#7X3]([*]=[OX1,SX1]))][#7X3]),$(C1(=O)[NX3][NX3]C(=O)cc1)]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[NX3][OH1]",Extended Functional Groups (EFG)
"[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,N])]",Extended Functional Groups (EFG)
"[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6&!$([CX3]=[OX1,SX1])][CX2]#[NX1]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[F,Cl,Br,I]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])F",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])Cl",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])Br",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])I",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[OX1])[CX2]#[NX1]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[NX2][#1,#6])[OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[NX2][#1,#6])[F,Cl,Br,I]",Extended Functional Groups (EFG)
"[$([#1,#6][CX3](=[SX1])[!#1!#6]),$([#1,#6][CX3](=[OX1])[SX2])]",Extended Functional Groups (EFG)
"[$([#1,#6][CX3](=[SX1])[OH1,SH1]),$([#1,#6][CX3](=[OX1])[SH1])]",Extended Functional Groups (EFG)
"[$([#1,#6][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([#1,#6][CX3](=[OX1])[SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]",Extended Functional Groups (EFG)
"[$([#6R][CX3R](=[SX1])[OX2R,SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])]),$([#6R][CX3R](=[OX1])[SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]",Extended Functional Groups (EFG)
"[#6R][CX3R](=[SX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[#1,#6][CX3](=[NX2][#1,#6])[SX2][C&!$([CX3]=[OX1,SX1,NX2])]",Extended Functional Groups (EFG)
"[$(c(=[OX1])[$(n[#1,#6]),o,s]),$(c(=[OX1])a[$(n[#1,#6]),o,s]),$(c(=[OX1])aa[$(n[#1,#6]),o,s]),$(c(=[OX1])aaa[$(n[#1,#6]),o,s])]",Extended Functional Groups (EFG)
