SMILES,Caco-2Papp(× 10x6cm/s),LogPapp Value
C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4oc(nn4)C(F)(F)F,18,1.255272505
C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,18,1.255272505
C[C@@H](NC(=O)C1(CC1)NC(=O)c2cc(on2)C3CC3)c4ncc(cc4F)c5cc(Cl)cc(Cl)c5OCC(F)F,18,1.255272505
CN1C(=O)C(=Cc2cnc(NC3CCN(CC3)C(=O)C)nc12)Oc4ccc(F)cc4F,17.9,1.252853031
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(CC4)c5cccs5)cn3,17.83,1.251151343
OCCc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1,17.8,1.250420002
Oc1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3ccc4NC(=O)Cc4c3,17.8,1.250420002
NC[C@@H]1C[C@@]1(C(=O)N(CC=C)C2CC2)c3cccs3,17.8,1.250420002
NC(=O)CN1CCNC(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C1=O,17.8,1.250420002
COc1cnc(OC)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c4ccccc4)c12,17.8,1.250420002
Cl.Fc1cccc(CCCNCCc2ccnc(n2)n3ccnc3)c1,17.8,1.250420002
CC[C@H](C)[C@H](NC(=O)C(N(C)C)c1cc(Cl)cc(Cl)c1)C(=O)NCc2ccnc(n2)C#N,17.8,1.250420002
C[C@H](NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C(C)(C)C#N,17.8,1.250420002
Cc1ncc(CN[C@@H]2CCN(CCN3C(=O)C=Cc4ncc(F)cc34)C[C@@H]2F)cc1C#N,17.7,1.247973266
O=C1N(Cc2nc3ccccc3n2CCCC#N)c4cnccc4N1C5CC5,17.6,1.245512668
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)c4ccccc4)C2=O)c1F,17.6,1.245512668
COc1cc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ccccn6)n(C)c4c3)cc(OC)c1\C=C\C(=O)O,17.6,1.245512668
CCCCc1ccc(nc1)C(=O)NC2(CCCC2)C(=O)N[C@H](Cc3ccccc3)C(=O)NCC4CCN(CC5CCOCC5)CC4,17.6,1.245512668
CCCCc1ccc(nc1)C(=O)NC2(CCCC2)C(=O)N[C@@H](Cc3ccccc3)C(=O)NCC4CCN(CC5CCOCC5)CC4,17.6,1.245512668
CC1=Nc2c(cnn2c3cccc(c3)S(=O)(=O)N)C(=O)N1c4ccc(Cl)cc4,17.6,1.245512668
C1NC[C@@]2(C[C@H]12)c3cccs3,17.6,1.245512668
ONC(=O)CCC1=CCCN(CCCc2ccccc2)C1=O,17.5,1.243038049
COc1ccccc1N2CCN(CC2)c3ncnc4c3cnn4c5ccccc5F,17.5,1.243038049
CN(C)C(=O)Oc1cccc(NC(=O)C2(CCN(CC2)c3ncnc4[nH]c5CCCCc5c34)N(C)C)c1,17.5,1.243038049
Cc1ncoc1c2nnc(SCCCN3CC4CCN(C4C3)c5ccc(F)cc5)n2C,17.5,1.243038049
C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)[C@@H]4C[C@H]34,17.5,1.243038049
CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](CC(C)C)NC1=O,17.47,1.242292905
COc1ccccc1C(=O)\C=C\c2ccccc2C(F)(F)F,17.4,1.240549248
C[C@]12CC[C@@H](C[C@@H]1CC[C@H]3[C@@H]4CC[C@H](C(=O)CO)[C@@]4(C)CC[C@H]23)NS(=O)(=O)C,17.4,1.240549248
Fc1ccc(nc1CN2CCS(=O)(=O)CC2)c3ccc(CN4CC(=O)N(C5CC5)C4=O)cc3,17.3,1.238046103
COc1ccccc1C(=O)\C=C\c2ncccc2C(F)(F)F,17.3,1.238046103
COc1ccc(CNc2ncnc3c(CCO)c(OC)c(NC(=O)C)cc23)cc1Cl,17.3,1.238046103
CCCC1CN(CCN1C(=O)C(=O)c2c[nH]c3cccc(F)c23)C(=O)c4ccccc4,17.2,1.235528447
[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCOCC4,17.18,1.235023159
CCC1CN(CCN1C(=O)c2ccccc2)C(=O)C(=O)c3c[nH]c4cccc(F)c34,17.1,1.23299611
Cc1nc(CNC2CCN(CCN3C(=O)C=Cc4ccc(cc34)C#N)CC2)ccc1C#N,17.1,1.23299611
CC(C)CC1CN(CCN1C(=O)C(=O)c2c[nH]c3cccc(F)c23)C(=O)c4ccccc4,17.1,1.23299611
Cn1cc(cn1)C2=NN(Cc3cccc(Nc4ncc(cn4)c5cnn(C)c5)c3)C(=O)C=C2,17.02,1.230959556
C1CCC(CC1)CC2(C3=CC=CC=C3C4=NC=CN42)C5=CC=C(C=C5)C#N,17,1.230448921
OCC(CO)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,17,1.230448921
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCc4c3)C(=O)Nc5ccccc5,17,1.230448921
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4c(ccn4C(=O)Nc5ccccc5)c3,17,1.230448921
O=C(c1ccc2[nH]ccc2c1)C3(Cc4ccccc4)CCNC3,17,1.230448921
O[C@@H](C(=O)N1[C@@H]2C[C@@H]2C[C@H]1C(=O)NCc3cc(Cl)ccc3n4cnnn4)c5ccccc5,17,1.230448921
COCCOc1cc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ncc(Cl)cn6)n(C)c4c3)ccc1\C=C\C(=O)O,17,1.230448921
COc1cncc(c1)C2=NC(=O)N(CCC3CCCO3)c4c2oc5ncc(cc45)c6cnn(C)c6,17,1.230448921
COc1ccc2c(O[C@@H]3C[C@H](N(C3)C(=O)[C@@H](NC(=O)OC4CCCC4)C(C)(C)C)C(=O)N[C@@]5(C[C@H]5C=C)C(=O)O)cc(nc2c1Br)c6csc(NC(C)C)n6,17,1.230448921
COc1ccc(cc1)n2nc(C#N)c3CCN(C(=O)c23)c4ccc(cc4)C5(CC5)N(C)C,17,1.230448921
COC(=O)N[C@H](C(=O)NN(CC[C@]1(Cc2ccccc2)[C@@H](O)CN([C@@H]3[C@H](O)Cc4ccccc34)C1=O)Cc5ccc(Br)cc5)C(C)(C)C,17,1.230448921
COC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](C2)n3c(C)nc4CCN(Cc34)C(=O)OC)c5cccc(F)c5,17,1.230448921
CN(C)c1ncc(cn1)C2=NC(=O)N(CCC3CCCO3)c4c2oc5ncc(cc45)c6cnn(C)c6,17,1.230448921
CN(C)C(=O)c1ccc(Nc2cc3c(cn2)cc(c4cnn(C)c4)n3C(=O)OC(C)(C)C)c(Cl)c1,17,1.230448921
CN(C)[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCCCC(=O)O)c3F)C)c4ccccc4,17,1.230448921
CCOc1nc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6cncnc6)n(C)c4c3)ccc1\C=C\C(=O)O,17,1.230448921
CCOc1cc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ccc(F)cn6)n(C)c4c3)ccc1\C=C\C(=O)O,17,1.230448921
CCOC(=O)N1CCC(CC1)NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c4ccccc24,17,1.230448921
CCc1nc(N)nc(N)c1c2ccc3OC(CC)(C(=O)N(CCCOC)c3c2)c4cc(F)cc(F)c4,17,1.230448921
CCc1nc(N)nc(N)c1c2ccc3OC(C)(C(=O)N(CCCOC)c3c2)c4ccc(F)c(F)c4,17,1.230448921
CCC(=O)N(C)c1cc2c(NCc3ccc(OC)c(Cl)c3)ncnc2c(CCO)c1OC,17,1.230448921
Cc1onc(C)c1c2ccc(cc2)c3nc(C)c([C@H](OC(C)(C)C)C(=O)O)c(c3C)c4ccc(Cl)cc4,17,1.230448921
Cc1cn2nc(cc2nc1N3CC[C@@H](C3)C#N)[C@@H]4CCCCN4C(=O)c5cc(Cl)ccc5NS(=O)(=O)C,17,1.230448921
Cc1ccc(cn1)C(=O)N(CC(=O)Nc2ncc(s2)c3ccc(N)cc3)Cc4ccccc4,17,1.230448921
CC1(Oc2ccccc2C(=N1)N)c3cccc(c3)c4cccnc4,17,1.230448921
CC[C@@H](C)Nc1nc(C)nc2c(c(C)nn12)c3ccc(OC)nc3C,17,1.230448921
CC(CN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3ccccc3,17,1.230448921
CC(C)c1noc(n1)N2CCN([C@H](C)C2)c3ncc(OCc4ccncc4C#N)cn3,17,1.230448921
CC(C)(C)OC[C@@H](O)C(=O)N1C[C@@H]2C[C@@H]2[C@H]1C(=O)NCc3cc(Cl)ccc3n4cnnn4,17,1.230448921
CC(C)(C)C1CN(CCN1C(=O)C(=O)c2c[nH]c3cccc(F)c23)C(=O)c4ccccc4,17,1.230448921
CC(C)(C)[C@@H](O)C(=O)N1C[C@@H]2C[C@@H]2[C@H]1C(=O)NCc3cc(Cl)ccc3n4cnnn4,17,1.230448921
CC(=O)Nc1ccc(F)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(Cl)ccc4O3,17,1.230448921
Brc1ccc(cc1)C2(Cc3ccccc3C#N)c4ccccc4c5nccn25,17,1.230448921
CNC(=O)c1ccc(C)c(c1)N2C(=CC(=C(Br)C2=O)OCc3ccc(F)cc3F)C,16.96666667,1.229596528
OCc1cn(Cc2ccc3C[C@H](Cc3c2)NS(=O)(=O)C(F)(F)F)nc1C(F)(F)F,16.9,1.227886705
Cl.Cl.Nc1ccc2ccc(CCNCCc3cccc(F)c3)cc2n1,16.9,1.227886705
CC(C)N1C(=O)N(Cc2nc3ccccc3n2CCCC#N)c4cnccc14,16.9,1.227886705
C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3ccccc23)C(=O)c4ccccc4,16.9,1.227886705
N[C@@H](Cc1ccc(cc1)c2ccc(F)cc2)C(=O)N3CCSC3,16.81,1.225567713
O=C1N(Cc2nc3ccccc3n2CCCC#N)c4cnccc4N1C5CCC5,16.8,1.225309282
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CO)cc4Cl,16.8,1.225309282
N[C@@H]1CCN(C1)c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2,16.8,1.225309282
CC1=C(C(=O)N(N1)c2nc3ccc(F)cc3s2)c4ccccc4,16.8,1.225309282
C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3ncccc23)C(=O)c4ccccc4,16.8,1.225309282
NC[C@@H]1C[C@@]1(C(=O)N(CC=C)CC=C)c2cccs2,16.7,1.222716471
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,16.7,1.222716471
CCN(CC(=C)F)C(=O)[C@]1(C[C@H]1CN)c2cccs2,16.7,1.222716471
Clc1ccccc1Oc2ccc(cc2)c3nc4cc(ccc4[nH]3)C(=O)NCCC5CC5,16.68,1.222196046
CC1(C)SC(C(S1)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)O,16.65,1.221414238
O=C([C@H]1C[C@@H]1c2ccccc2)N3CCC(CC3)N4CCCCC4,16.6,1.220108088
Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O,16.6,1.220108088
OC(Cn1cncn1)(Cn2cnc(n2)[N+](=O)[O-])c3ccc(cc3)c4ccccc4,16.5,1.217483944
O=C1NN=C(C=C1)c2ccc(OC3CCN(CC3)C4CCC4)cc2,16.5,1.217483944
CN1C(=CC(=C(C1=O)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)OCCCN4CCOCC4)cc2)C(F)(F)F)C,16.5,1.217483944
CCCC1(CCNC1)c2ccc3[nH]ccc3c2,16.5,1.217483944
CC(C)Oc1ccc(cc1Cl)c2cc(ncn2)C(=O)O,16.5,1.217483944
CC(C)C1CN(CCN1C(=O)C(=O)c2c[nH]c3cccc(F)c23)C(=O)c4ccccc4,16.5,1.217483944
CC(=O)Nc1ccccc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(F)ccc4O3,16.5,1.217483944
O=C1NN=C([C@H]2C[C@@H]12)c3ccc(OC4CCN(CC4)C5CCC5)cc3,16.4,1.214843848
NC[C@@H]1C[C@@]1(C(=O)N(CC#C)CC#C)c2ccsc2,16.4,1.214843848
CO[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4ccccc4)[C@]56OC(=O)O[C@H]5[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c7ccccc7)C(=C([C@@H](OC(=O)N(C)C)C(=O)[C@]13C)C6(C)C)C,16.4,1.214843848
Cc1ccc(nc1)c2c(C3CCCCC3)c4ccc(cc4n2C)C(=O)NC(C)(C)C(=O)Nc5ccc(\C=C\C(=O)O)cc5,16.4,1.214843848
CC(C)C[C@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(C)C)N(C)C1=O,16.36,1.213783299
ONC(=O)CCC1=CCN(CCCc2ccc3ccccc3c2)C1=O,16.3,1.212187604
COc1cc(ccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2)N6CCOCC6,16.3,1.212187604
CCCCCCC(N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2CCC[C@H]2C(=O)NC3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(=O)N,16.3,1.212187604
CC1CC(=Cc2ccccc12)c3cccnc3,16.3,1.212187604
O=C(O)c1ccccc1O,16.22,1.21005085
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4cc(Cl)ccc4Cl,16.2,1.209515015
Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F,16.2,1.209515015
COCCN1CC(=O)Nc2ncc(nc12)c3ccc(nc3C)c4nc[nH]n4,16.2,1.209515015
CN1C(=CC(=C(C1=O)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)OCCN4CCOCC4)cc2)C(F)(F)F)C,16.2,1.209515015
C[C@H]1N(C)C(=O)[C@@H](NCCOc2cc(F)ccc2CCCNC(=O)[C@@H](Cc3ccc(F)cc3)NC1=O)C4CC4,16.15,1.208172527
OCCCCn1c(CN2C(=O)N(C3CCC3)c4ccncc24)nc5ccccc15,16.1,1.206825876
CC1=C(COC(=O)c2ccccc2c3ccc(CN4CCC(COC(=O)c5c6OCCCn6c7ccccc57)CC4)cc3)OC(=O)O1.CS(=O)(=O)O,16.1,1.206825876
CC(C)C1CN(CCN1C(=O)c2ccccc2)C(=O)C(=O)c3c[nH]c4cccc(F)c34,16.1,1.206825876
OCCCCn1c(CN2C(=O)N(C3CCCC3)c4ccncc24)nc5ccccc15,16,1.204119983
OC(=O)C1=CC(=C2C=CC=CN2C1=O)CN3CCN(CC3)c4ccc(Br)cc4,16,1.204119983
O[C@H](COc1cccc2CCC(=O)Nc12)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,16,1.204119983
O[C@H](COc1cc(F)ccc1C(=O)NC2CC2)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,16,1.204119983
O[C@H](C1CCCCC1)C(=O)N2[C@H]3C[C@H]3C[C@H]2C(=O)NCc4cc(Cl)ccc4n5cnnn5,16,1.204119983
O[C@@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C(=O)NCc3cc(Cl)ccc3n4cnnn4)c5ccccc5F,16,1.204119983
Nc1cccc(c1)c2c(O)ccc3cc(ccc23)c4cccc(O)c4,16,1.204119983
NC1=NC(c2cccc(c2)c3cncc(c3)C#N)(c4ccnc(c4)C(F)(F)F)c5cccc(F)c15,16,1.204119983
NC(=O)Nc1ccc(F)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(Cl)ccc4O3,16,1.204119983
NC(=O)c1sc(nc1CC(=O)N2CCc3ccccc23)N4CCOCC4,16,1.204119983
Fc1ccc2oc(CC3=NC(=CC(=O)N3)N4CCOCC4)nc2c1,16,1.204119983
FC1(F)CCC(CC1)C(C(=O)NC2CCN(CC2)C(=O)CCc3cccnc3)c4ccccc4,16,1.204119983
FC(F)(F)c1ccccc1C(=O)N2CCN(CC2)c3ccc(nn3)C(=O)NCCc4ccccc4,16,1.204119983
FC(F)(F)c1ccccc1C(=O)N(CC2CCC2)[C@H]3CCNC3,16,1.204119983
CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,16,1.204119983
COc1cccc2C(=CCCc12)CCCN3CCc4cc(OC)c(OC)cc4C3,16,1.204119983
COc1cccc(c1)c2cccc(c2)C3(C)N=C(N)CN3C(=O)C,16,1.204119983
COc1ccc(cc1)C2=NC(=O)N(CCC3CCCO3)c4c2oc5ncc(cc45)c6cnn(C)c6,16,1.204119983
COc1cc(Nc2cc(ccn2)c3cccc(c3)C#N)ccc1N4CCN(C)CC4,16,1.204119983
COC(C)(C)[C@@H](O)C(=O)N1[C@H]2C[C@H]2C[C@H]1C(=O)NCc3cc(Cl)ccc3n4cnnn4,16,1.204119983
Cn1c(c2ccccn2)c(C3CCCCC3)c4ccc(cc14)C(=O)NC(C)(C)C(=O)Nc5ccc(\C=C\C(=O)O)cc5,16,1.204119983
CCOc1ncc(cc1C2=Nc3c(CC)n(CCOC)nc3C(=O)N2)S(=O)(=O)N4CCN(CC)CC4,16,1.204119983
CCOC(=O)c1ccc2nc3C(=O)c4cnccc4C(=O)c3nc2c1,16,1.204119983
CCC1(CC)CNc2ccc(cc2C(=O)N1)S(=O)(=O)Nc3ccc(F)cc3F,16,1.204119983
Cc1cn2nc(cc2nc1N3CCC(F)(F)C3)[C@@H]4CCCCN4C(=O)c5cc(Cl)ccc5NS(=O)(=O)C,16,1.204119983
CC1CCc2cccc(C[C@@](C)(N)C(=O)OCc3cc(CC1)cc(c3)N(C)S(=O)(=O)C)c2,16,1.204119983
CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CC(O)CN(C)C(=O)C,16,1.204119983
CC(C)N(C(=O)[C@@H]1CC[C@@H](C)CC1)c2ccc(Oc3ccccc3C(F)(F)F)cc2C(=O)O,16,1.204119983
CC(C)c1oc(nn1)N2CCN([C@H](C)C2)c3ncc(OCc4ccncc4C#N)cn3,16,1.204119983
CC(C)(CCC(C(=O)N)(c1ccccc1)c2ccccc2)N3CC[C@@H](C3)Oc4ccccc4,16,1.204119983
CC(C)(c1cc(nc(n1)c2cccc3[nH]ccc23)N4CCOCC4)S(=O)(=O)C,16,1.204119983
CC(C)(C)CC(N1CCC(CC1)C(F)(F)F)c2ccc(CC(=O)O)cc2c3ccc(cc3)C(F)(F)F,16,1.204119983
CC(C)(C)[C@@H](O)C(=O)N1[C@H]2C[C@H]2C[C@H]1C(=O)NCc3cc(Cl)ccc3n4cnnn4,16,1.204119983
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(N)c(c3)C(F)(F)F,16,1.204119983
C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OC4(COC4)C(F)(F)F,16,1.204119983
C[C@@H](Nc1cc(F)cc(F)c1F)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)C(=O)N(C)C,16,1.204119983
C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(COCC=CCOCc2c3)c5,16,1.204119983
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,15.9,1.201397124
CNC(=O)CN1CCC(CC1)Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC,15.9,1.201397124
CC(C)C[C@@H]1N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,15.83,1.199480915
COc1ccccc1N2CCN(CC2)C(=O)[C@@]3(CCCN(C3)C(=O)c4cnccc4C(F)(F)F)Oc5ccc(cc5)C(F)(F)F,15.8,1.198657087
COc1ccc(cc1Cl)c2cc(ncn2)C(=O)O,15.8,1.198657087
Fc1ccc(C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2)c(F)c1,15.74,1.197004728
CSCC[C@H](NC(=O)C1SC(C)(C)SC1C(=O)O)C(=O)O,15.7,1.195899652
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,15.7,1.195899652
C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)[C@H]4C[C@@H]34,15.7,1.195899652
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3cc(nn3c2)c4ccccc4)c1F,15.6,1.193124598
[Na+].CC(C)c1nc(nc(c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c2ccc(F)cc2)N(C)c3ccnn3C,15.6,1.193124598
Cc1ccc(Nc2c(nc3n2CCNC3(C)C)c4ccc(F)cc4)cc1,15.56,1.192009593
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,15.5,1.190331698
COc1ccc(cc1)[C@@]23Oc4cc(Cl)cc(OC)c4[C@]2(O)[C@H](O)[C@@H]([C@H]3c5ccccc5)C(=O)N(C)C,15.5,1.190331698
Cn1cncc1CN2CC(Cc3cc(ccc23)C#N)N(CC4CCN(CC4)C(=O)OC(C)(C)C)S(=O)(=O)c5ccccn5,15.5,1.190331698
[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(N4CCOCC4=O)c(F)c3,15.41,1.187802639
C1C(=CC2=CC(=CC=C2)O)C(=O)C(=CC3=CC(=CC=C3)O)CN1,15.4,1.187520721
ONC(=O)c1ccc(s1)c2ccc(CNCc3ccccc3)cn2,15.4,1.187520721
CCCCCC1CN(CCN1C(=O)C(=O)c2c[nH]c3cccc(F)c23)C(=O)c4ccccc4,15.4,1.187520721
CCCC1CN(CCN1C(=O)c2ccccc2)C(=O)C(=O)c3c[nH]c4cccc(F)c34,15.4,1.187520721
Cc1cc(Nc2ncnc3cnc(cc23)N4CCOCC4)ccc1Oc5ccc(cc5)C(=O)NCC(C)(C)C,15.4,1.187520721
CCN(CC)C(=O)COC(=O)c1ccc2nc(n(C)c2c1)C(F)(F)F,15.37,1.186673867
FC(F)(F)c1cccc(c1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,15.31,1.184975191
ON1CCc2c(ncc3c2ccn3Cc4ccc(F)cc4)C1=O,15.3,1.184691431
COc1ccccc1N2CCN(CC2)c3ncnc4c3cnn4C5CCCC5,15.3,1.184691431
CC#Cc1cncc(c1)c2cc(Cl)c(s2)[C@]3(C)CC(=O)N(C)C(=N)N3,15.3,1.184691431
Oc1ccc2Oc3ccccc3C(=O)c2c1O,15.2,1.181843588
COCCn1cc(C(=O)C(=O)Nc2ccc(OC(C)C)nc2)c3ccccc13,15.2,1.181843588
COc1ccc(cc1)n2nc(C#N)c3CCN(C(=O)c23)c4ccc(cc4)C5(CS(=O)(=O)C)CC5,15.2,1.181843588
Cc1oc(nc1COc2ccc(CCC(=O)O)cc2)c3ccccc3,15.2,1.181843588
CN1C(=N)N[C@]2(CN(C[C@H]2C1=O)c3ncc(F)cn3)c4cc(cs4)c5cccc(c5)C#N,15.1,1.178976947
Clc1c(sc2ccccc12)C(=O)NC3(CCCC3)C(=O)N[C@H](Cc4ccccc4)C(=O)NCCCN5CCOCC5,15.1,1.178976947
C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,15.1,1.178976947
CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)N7C=CC(=N7)C(C)C)OC,15,1.176091259
CCC1=CN=C(S1)C2=C(C=C(C=C2)C)NC(=O)OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C,15,1.176091259
COc1cccc(c1)c2cccc(c2)C3(C)SCC(=N3)N,15,1.176091259
COc1ccc(nc1)C2=NC(=O)N(CCC3CCCO3)c4c2oc5ncc(cc45)c6cnn(C)c6,15,1.176091259
COc1ccc(cc1)n2nc(C(=O)N)c3N=CN(C(=O)c23)c4ccc(cc4F)c5ccccc5CN6CCCC6.OC(=O)C(F)(F)F,15,1.176091259
COC1=CC(=O)N(C=C1)c2nc(C)c(s2)C(=O)NCc3ccccc3,15,1.176091259
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,15,1.176091259
CNc1c(C)c(C)nc2cc(nn12)[C@@H]3CCCCN3C(=O)c4ccccc4NS(=O)(=O)C,15,1.176091259
Cn1cc(cn1)c2cnc3oc4C(=NC(=O)N(CCC5CCCO5)c4c3c2)c6cccnc6,15,1.176091259
CN(C)S(=O)(=O)N(C)c1cc2COC(=O)[C@](C)(N)Cc3cccc(CC[C@@H](NC(=O)c(c2)c1)c4ccccc4)c3,15,1.176091259
CCOc1nc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ncc(Cl)cn6)n(C)c4c3)ccc1\C=C\C(=O)O,15,1.176091259
CCOc1nc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ccc(Cl)cn6)n(C)c4c3)ccc1\C=C\C(=O)O,15,1.176091259
CCOc1nc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(c3)c(C)c(c5ccc(F)cn5)n4C6CCCCC6)ccc1\C=C\C(=O)O,15,1.176091259
CCOc1cc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ncc(Cl)cn6)n(C)c4c3)ncc1\C=C\C(=O)O,15,1.176091259
CCC1CN(CCN1C(=O)C(=O)c2c[nH]c3cccc(F)c23)C(=O)c4ccccc4,15,1.176091259
Cc1nc(sc1C(=O)NCc2cccnc2)N3C=NN(Cc4ccc(cc4)C(F)(F)F)C3=O,15,1.176091259
Cc1cn2nc(cc2nc1N3CCC3)[C@@H]4CCCCN4C(=O)c5cc(Cl)ccc5NS(=O)(=O)C,15,1.176091259
Cc1ccc(Nc2c(nc3CNC(=O)Cn23)c4ccc(F)cc4)cc1,15,1.176091259
Cc1ccc(cc1c2ccn3c(nnc3c2)C(C)(C)C)C(=O)NC4CC4,15,1.176091259
Cc1cc(OC(F)(F)F)ccc1C2=C(Oc3ccc(\C=C\C(=O)O)cc3)c4ccc(O)cc4OC2=O,15,1.176091259
Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,15,1.176091259
